benchmark,view_setting,method,policy,task,mean_success_percent,std_across_seeds,policy_seeds,episodes_per_task_per_seed
RLBench,single-view,GNFactor,Perceiver,Push buttons,18.7,10.0,3,25
RLBench,single-view,GNFactor,Perceiver,Meat off grill,57.3,18.9,3,25
RLBench,single-view,GNFactor,Perceiver,Slide block,20.0,15.0,3,25
RLBench,single-view,GNFactor,Perceiver,Drag stick,37.3,13.2,3,25
RLBench,single-view,GNFactor,Perceiver,Sweep to dustpan,28.0,15.0,3,25
RLBench,single-view,GNFactor,Perceiver,Turn tap,50.7,8.2,3,25
RLBench,single-view,GNFactor,Perceiver,Open drawer,76.0,5.7,3,25
RLBench,single-view,GNFactor,Perceiver,Put in drawer,0.0,0.0,3,25
RLBench,single-view,GNFactor,Perceiver,Stack blocks,4.0,3.3,3,25
RLBench,single-view,GNFactor,Perceiver,Close jar,25.3,6.8,3,25
RLBench,single-view,GNFactor,Perceiver,Overall (reported),31.7,,3,25
RLBench,single-view,ManiGaussian,Perceiver,Push buttons,20.4,12.2,3,25
RLBench,single-view,ManiGaussian,Perceiver,Meat off grill,60.2,18.2,3,25
RLBench,single-view,ManiGaussian,Perceiver,Slide block,24.3,12.8,3,25
RLBench,single-view,ManiGaussian,Perceiver,Drag stick,92.3,11.4,3,25
RLBench,single-view,ManiGaussian,Perceiver,Sweep to dustpan,64.5,13.4,3,25
RLBench,single-view,ManiGaussian,Perceiver,Turn tap,56.2,6.8,3,25
RLBench,single-view,ManiGaussian,Perceiver,Open drawer,76.3,6.2,3,25
RLBench,single-view,ManiGaussian,Perceiver,Put in drawer,16.6,3.2,3,25
RLBench,single-view,ManiGaussian,Perceiver,Stack blocks,12.4,3.2,3,25
RLBench,single-view,ManiGaussian,Perceiver,Close jar,28.4,5.4,3,25
RLBench,single-view,ManiGaussian,Perceiver,Overall (reported),45.2,,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Push buttons,22.3,11.4,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Meat off grill,58.8,7.9,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Slide block,25.7,10.9,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Drag stick,90.6,7.8,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Sweep to dustpan,46.9,8.1,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Turn tap,52.5,6.3,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Open drawer,73.1,5.4,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Put in drawer,12.1,3.0,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Stack blocks,8.6,3.0,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Close jar,29.6,5.0,3,25
RLBench,single-view,VAE-GS,EC-Diffuser,Overall (reported),42.0,,3,25
RLBench,single-view,DLP,EC-Diffuser,Push buttons,36.7,8.9,3,25
RLBench,single-view,DLP,EC-Diffuser,Meat off grill,65.4,4.1,3,25
RLBench,single-view,DLP,EC-Diffuser,Slide block,54.6,5.2,3,25
RLBench,single-view,DLP,EC-Diffuser,Drag stick,93.1,5.5,3,25
RLBench,single-view,DLP,EC-Diffuser,Sweep to dustpan,73.5,7.3,3,25
RLBench,single-view,DLP,EC-Diffuser,Turn tap,36.2,5.8,3,25
RLBench,single-view,DLP,EC-Diffuser,Open drawer,37.8,9.6,3,25
RLBench,single-view,DLP,EC-Diffuser,Put in drawer,30.8,4.7,3,25
RLBench,single-view,DLP,EC-Diffuser,Stack blocks,11.4,4.6,3,25
RLBench,single-view,DLP,EC-Diffuser,Close jar,20.7,4.9,3,25
RLBench,single-view,DLP,EC-Diffuser,Overall (reported),46.6,,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Push buttons,57.2,7.1,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Meat off grill,76.0,8.4,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Slide block,92.3,2.0,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Drag stick,96.7,2.5,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Sweep to dustpan,90.6,6.9,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Turn tap,83.8,4.6,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Open drawer,88.4,4.3,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Put in drawer,78.4,5.8,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Stack blocks,19.4,2.9,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Close jar,54.1,4.7,3,25
RLBench,single-view,ParticleSplat,EC-Diffuser,Overall (reported),73.0,,3,25
RLBench,multi-view,VAE-GS,EC-Diffuser,Close jar,34.2,5.6,3,25
RLBench,multi-view,VAE-GS,EC-Diffuser,Open drawer,79.3,6.1,3,25
